DateTime,Energy Produced (Wh)
7/11/2018 0:00,32265
7/12/2018 0:00,32634
7/13/2018 0:00,31631
7/14/2018 0:00,29627
7/15/2018 0:00,14549
7/16/2018 0:00,18989
7/17/2018 0:00,30951
7/18/2018 0:00,27961
7/19/2018 0:00,28911
7/20/2018 0:00,7543
7/21/2018 0:00,12989
7/22/2018 0:00,16798
7/23/2018 0:00,15069
7/24/2018 0:00,13504
7/25/2018 0:00,24414
7/26/2018 0:00,28789
7/27/2018 0:00,26972
7/28/2018 0:00,27393
7/29/2018 0:00,18175
7/30/2018 0:00,18196
7/31/2018 0:00,9996
8/1/2018 0:00,10261
8/2/2018 0:00,18524
8/3/2018 0:00,22320
8/4/2018 0:00,26797
8/5/2018 0:00,26081
8/6/2018 0:00,28138
8/7/2018 0:00,21787
8/8/2018 0:00,17083
8/9/2018 0:00,28770
8/10/2018 0:00,17644
8/11/2018 0:00,10828
8/12/2018 0:00,25700
8/13/2018 0:00,24202
8/14/2018 0:00,27801
8/15/2018 0:00,17464
8/16/2018 0:00,6494
8/17/2018 0:00,8575
8/18/2018 0:00,18677
8/19/2018 0:00,27175
8/20/2018 0:00,22940
8/21/2018 0:00,20947
8/22/2018 0:00,25600
8/23/2018 0:00,30672
8/24/2018 0:00,28257
8/25/2018 0:00,12253
8/26/2018 0:00,17534
8/27/2018 0:00,26437
8/28/2018 0:00,25380
8/29/2018 0:00,22769
8/30/2018 0:00,17718
8/31/2018 0:00,27030
9/1/2018 0:00,15681
9/2/2018 0:00,26503
9/3/2018 0:00,25875
9/4/2018 0:00,26044
9/5/2018 0:00,19090
9/6/2018 0:00,10639
9/7/2018 0:00,16897
9/8/2018 0:00,3263
9/9/2018 0:00,3747
9/10/2018 0:00,9271
9/11/2018 0:00,8132
9/12/2018 0:00,16210
9/13/2018 0:00,21132
9/14/2018 0:00,23756
9/15/2018 0:00,27538
9/16/2018 0:00,22391
9/17/2018 0:00,10104
9/18/2018 0:00,26921
9/19/2018 0:00,22537
9/20/2018 0:00,22432
9/21/2018 0:00,22235
9/22/2018 0:00,7798
9/23/2018 0:00,16427
9/24/2018 0:00,2187
9/25/2018 0:00,3547
9/26/2018 0:00,10772
9/27/2018 0:00,5978
9/28/2018 0:00,28581
9/29/2018 0:00,27144
9/30/2018 0:00,25848
10/1/2018 0:00,25621
10/2/2018 0:00,10352
10/3/2018 0:00,16833
